Schulart;Ort;Name;Schulnummer;Strasse;PLZ;Telefon;URL
GS;Armsheim;"GS Armsheim";11893;"Keltenweg 15";55288;(06734)8728;
GS;Arzbach;"GS Arzbach";21578;Wiesenweg;56337;(02603)8268;
GS;Arzfeld;"GS Arzfeld";11905;"Schulstr. 10";54687;(06550)1275;
GS;Asbach;"GS Asbach am Frankenwall";26793;"Schulstr. 7";53567;(02683)948562;http://www.grundschule-asbach.de
GS;Asbach;"GS Asbach-Limbach";15153;"Altenkirchener Str. 20";53567;(02683)6116;
RS+FOS;Asbach;"RS+FOS Asbach";41333;"Flammersfelder Str. 7a";53567;(02683)4723;http://www.rsplusfos-asbach.de
FOES;Asbach;"SFL AsbachWW";30786;"Laurentiusstraße 1";53567;02683-940500;http://www.albert-schweitzer-schule-asbach.de
GS;Atzelgift;"GS Atzelgift-Streithausen";11922;"Schulstraße 17";57629;(02662)1333;
BBS;"Bad Bergzabern";"BBS Bad Bergzabern SÜW";63678;"Steinfelder Str. 53";76887;(06343)935000;http://www.bbs-suew.de
GS;"Bad Bergzabern";"GS Bad Bergzabern";11979;"Lessingstr. 38";76887;(06343)989620;
GY;"Bad Bergzabern";"GY Bad Bergzabern";51141;"Lessingstr. 24";76887;(06343)93440;http://www.schulebza.de/gymnasium
RS+FOS;"Bad Bergzabern";"RS+FOS Bad Bergzabern";40998;"Pestalozzistr. 18";76887;(06343)98900;http://www.schulebza.de/rsplus
FOES;"Bad Bergzabern";"SFL Bad Bergzabern";31510;"Zeppelinstr. 55";76887;(06343)8176;http://www.altenbergschule.de
GS;"Bad Breisig";"GS Bad Breisig";11996;"Rheintalstr. 35-39";53498;(02633)9467;www.lindenschule-breisig.de
BBS;"Bad Dürkheim";"BBS Bad Dürkheim";60419;"Im Salzbrunnen 7";67098;(06322)9518-0;http://www.bbs-duew.de
GS;"Bad Dürkheim";"GS Bad Dürkheim Ostertag";21278;"Eduard-Jost-Str. 24";67098;"(06322) 980695";http://Valentin-Ostertag-Schule.de
GS;"Bad Dürkheim";"GS Bad Dürkheim Pestalozzi";12001;"Schulplatz 7";67098;(06322)980683;http://www.gs-pesta.de
GS;"Bad Dürkheim";"GS Bad Dürkheim Salier";24751;"Wellsring 182";67098;(06322)8142;http://www.salierschule.de
GS;"Bad Dürkheim";"GS Bad Dürkheim-Grethen";12014;"Bürgermeister-Gropp-Str. 69";67098;(06322)7414;
GY;"Bad Dürkheim";"GY Bad Dürkheim";51094;"Kanalstr. 19";67098;(06322)94800;http://www.whgonline.de
RS+;"Bad Dürkheim";"RS+ Bad Dürkheim";41003;"Kanalstr. 19";67098;(06322)95190;http://www.carl-orff-realschule.de
FOES;"Bad Dürkheim";"SFG Bad Dürkheim";30335;"Sägmühle 4";67098;(06322)938290;http://www.scs.bildung-rp.de/
FOES;"Bad Dürkheim";"SFL Bad Dürkheim";31014;"Friedelsheimerstr. 18";67098;(06322)947272;http://www.limburgschule.de
GS;"Bad Ems";"GS Bad Ems Ernst-Born";10328;"Arzbacher Str. 68";56130;(02603)12410;http://www.ernst-born-schule.de
GS;"Bad Ems";"GS Bad Ems Freiherr-vom-Stein";10388;"Karl-Busch-Str. 1";56130;(02603)919510;http://www.steinschule-bad-ems.de
GY;"Bad Ems";"GY Bad Ems";50480;"Schulstr. 36";56130;"(02603) 96230";http://www.gg-badems.org
RS+;"Bad Ems";"RS+ Bad Ems";41346;"Schulstr. 25";56130;(02603)2312;www.rs-be.de
GS;"Bad Hönningen";"GS Bad Hönningen";20693;"Bischof-Stradmann-Str. 42";53557;(02635)3566;
BBS;"Bad Kreuznach";"BBS Bad Kreuznach Diakonie";60585;"Ringstr. 65";55543;(0671)6053294;http://fachschulen.kreuznacherdiakonie.de
BBS;"Bad Kreuznach";"BBS Bad Kreuznach DLR";61846;"Rüdesheimer Str. 68";55545;"(0671)820 110";http://www.dlr-rnh.rlp.de
BBS;"Bad Kreuznach";"BBS Bad Kreuznach TGHS";60749;"Ringstr. 49";55543;(0671)887770;http://www.bbstghs.de
BBS;"Bad Kreuznach";"BBS Bad Kreuznach Wirt.";60962;"Rheingrafenstr. 20";55543;(0671)794973-0;http://www.bbswkh.de/
GS;"Bad Kreuznach";"GS Bad Kreuznach Hofgartenstraße";16037;"Hofgartenstr. 14";55545;(0671)26119;
GS;"Bad Kreuznach";"GS Bad Kreuznach Kleiststraße";17616;Kleiststr.;55543;(0671)61362;http://kleistschule.de
GS;"Bad Kreuznach";"GS Bad Kreuznach Martin-Luther-King";16251;"Richard-Wagner-Str. 39";55543;(0671)67780;http://www.maluki.org/
GS;"Bad Kreuznach";"GS Bad Kreuznach Planig";16461;"Am Winzerkeller 2";55545;(0671)66278;http://www.gs-planig.de
GS;"Bad Kreuznach";"GS Bad Kreuznach Winzenheim";12030;"Lindelstr. 10";55545;(0671)41818;http://www.gs-winzenheim.de
GS;"Bad Kreuznach";"GS Bad Münster";12057;"Ringstr. 23";55583;(06708)2102;
GY;"Bad Kreuznach";"GY Bad Kreuznach am Römerkastell";50583;"Heidenmauer 14";55543;"(0671) 66464";http://roeka-kh.bildung-rp.de/
GY;"Bad Kreuznach";"GY Bad Kreuznach an der Stadtmauer";50600;"Hospitalgasse 6";55543;"(0671) 7946150";http://www.stamaonline.de
GY;"Bad Kreuznach";"GY Bad Kreuznach Lina-Hilger";50837;"Gustav-Pfarrius-Str. 11-15";55543;"(0671) 9289422 0";http://www.lina-hilger.de
IGS;"Bad Kreuznach";"IGS Bad Kreuznach Sophie Sondhelm";70471;"Heidenmauer 16";55543;"0671 4835750";http://www.igs-bad-kreuznach.de
RS+;"Bad Kreuznach";"RS+ Bad Kreuznach am Rotenfels";41166;"Götzenfelsstraße 14";55583;(06708)660096;http://www.rbme.de
RS+;"Bad Kreuznach";"RS+ Bad Kreuznach Crucenia";40265;"Ringstraße 112";55543;(0671)483523-0;http://realschuleplus-kreuznach.de
FOES;"Bad Kreuznach";"SFG Bad Kreuznach";31690;Ellerbachstr.;55545;(0671)32211;http://www.don-bosco-schule.de
FOES;"Bad Kreuznach";"SFL Bad Kreuznach";30649;"Ellerbachstr. 17";55545;(0671)2984450;www.ellerbachschule.de
FOES;"Bad Kreuznach";"SFM Bad Kreuznach";30109;"Waldemarstr. 26";55543;(0671)6053352;
STUDSEM;"Bad Kreuznach";"StudSem GY Bad Kreuznach";90201;"Kreuzstr. 31-33";55543;(0671)8951041;http://www.studienseminar-kreuznach.de
GS;"Bad Marienberg";"GS Bad Marienberg";12044;"Erlenweg 2";56470;(02661)914450;http://wolfsteinschule.bildung-rp.de
GY;"Bad Marienberg";"GY Bad Marienberg";51438;"Erlenweg 5";56470;02661-980870;http://www.ev-gymnasium.de
RS+;"Bad Marienberg";"RS+ Bad Marienberg";40385;"Am Erlenweg";56470;(02661)914410;http://www.rsplus-badmarienberg.de
FOES;"Bad Marienberg";"SFL Bad Marienberg";30829;"Erlenweg 4a";56470;(02661)91080;http://mesbm.de
BBS;"Bad Neuenahr-Ahrweiler";"BBS Bad Neuenahr-Ahrweiler";60046;"Kreuzstr. 120";53474;(02641)9464-0;http://www.bbs-ahrweiler.de
GS;"Bad Neuenahr-Ahrweiler";"GS Ahrweiler";23880;"Blankartstr. 13";53474;(02641)3386;http://aloisiusschule.de
GS;"Bad Neuenahr-Ahrweiler";"GS Bad Neuenahr";12060;"Weststr. 27";53474;(02641)28359;www.grundschule-bad-neuenahr.de
GS;"Bad Neuenahr-Ahrweiler";"GS Heimersheim";22062;"Vehner Weg 31";53474;(02641)25375;http://www.gsanderlandskrone.bildung-rp.de
GY;"Bad Neuenahr-Ahrweiler";"GY Bad Neuenahr-Ahrweiler Are";50267;"Mittelstr. 110";53474;"(02641) 75060";http://www.are-gymnasium.de
GY;"Bad Neuenahr-Ahrweiler";"GY Bad Neuenahr-Ahrweiler Peter-Joerres";51304;"Uhlandstr. 30";53474;"(02641) 97970";http://www.pjg-aw.de
GY;"Bad Neuenahr-Ahrweiler";"GY Bad Neuenahr-Ahrweiler Ursulinen";50210;"Kalvarienbergstr. 50";53474;"(02641) 383201";http://www.gymnasium-calvarienberg.de
RS;"Bad Neuenahr-Ahrweiler";"RS Bad Neuenahr-Ahrweiler Ursulinen";40072;"Kalvarienbergstr. 50";53474;(02641)383251;http://realschule-calvarienberg.de
RS+;"Bad Neuenahr-Ahrweiler";"RS+ Bad Neuenahr-Ahrweiler Boeselager";40912;"Schützenstr. 109";53474;(02641)97930;http://www.boeselager-realschule.de
RS+;"Bad Neuenahr-Ahrweiler";"RS+ Bad Neuenahr-Ahrweiler Kästner";42247;"St.-Pius-Str. 29";53474;(02641)3373;http://Erich-Kaestner-Schule.bildung-rp.de
FOES;"Bad Neuenahr-Ahrweiler";"SFGM Bad Neuenahr-Ahrweiler";31687;"St. Pius-Str. 25";53474;(02641)36611;http://www.levana-aw.de
FOES;"Bad Neuenahr-Ahrweiler";"SFLS Bad Neuenahr-Ahrweiler";31327;"St. Piusstr. 23";53474;(02641)34778;www.donbosco-aw.de
GS;"Bad Sobernheim";"GS Bad Sobernheim";24151;"Münchwiesen 41";55566;(06751)855590;
GY;"Bad Sobernheim";"GY Bad Sobernheim";51005;"Poststr. 36";55566;(06751)930840;http://www.emanuel-felke-gymnasium.de
RS+;"Bad Sobernheim";"RS+ Bad Sobernheim";40278;"Münchwiesen 41";55566;(06751)85604-0;http://www.rsbadsobernheim.de
GS;Bann;"GS Bann";12117;"Schulstr. 7";66851;(06371)3759;
GS;Bassenheim;"GS Bassenheim";12134;"Saffiger Str. 2";56220;(02625)4417;
GS;Baumholder;"GS Baumholder";11172;"Im Brühl 7";55774;(06783)981130;
RS+;Baumholder;"RS+ Baumholder";40282;"Im Brühl 20";55774;(06783)981144;http://www.realschuleplusbaumholder.de
GS;Bechhofen;"GS Bechhofen";12180;"Schulstr. 8";66894;(06372)8156;http://gs-bechhofen.de
GS;Bechtheim;"GS Bechtheim";12164;"Am Markt 7";67595;(06242)2407;http://grundschule-bechtheim.de
GS;Bechtolsheim;"GS Bechtolsheim";12177;Bahnhofstr.11;55234;(06733)6829;http://gs-bechtolsheim.de
GS;Beindersheim;"GS Beindersheim";24721;"Schlittweg 13";67259;(06233)72903;
GS;Bellheim;"GS Bellheim";12207;"Schulstr. 2";76756;(07272)7008600;
RS+;Bellheim;"RS+ Bellheim";41119;"Schulstr. 4";76756;(07272)930120;http://www.rs-plus-bellheim.de/
GS;Beltheim;"GS Beltheim";12210;"Schulstr. 23";56290;(06762)6990;http://www.rsbeltheim.de
GS;Bendorf;"GS Bendorf Bodelschwingh";25529;"Am Röttchenshammer";56170;(02622)10282;http://www.bodelinos.de
GS;Bendorf;"GS Bendorf Medardus";25142;"Ringstr. 115";56170;(02622)5373;
GS;Bendorf;"GS Bendorf-Stromberg";17602;"Schulstr. 3";56170;(02601)2466;
GY;Bendorf;"GY Bendorf";51034;"Mühlenstr. 35";56170;"(02622) 90360";http://www.wrg-online.de/
RS+;Bendorf;"RS+ Bendorf";41359;"Lohweg 22";56170;(02622)94330;http://www.rs-bendorf.de
FOES;Bendorf;"SFL Bendorf";30768;"Engerser Str. 33";56170;(02622)904980;
GS;Berg;"GS Berg Vischeltal";12237;"Ahrstr. 87";53505;(02643)1089;http://www.vischeltalschule.berg-aw.de
GS;Berg;"GS Berg/Pfalz";12224;"Kettelerstr. 7";76768;(07273)1391;
BBS;Bernkastel-Kues;"BBS Bernkastel-Kues";60179;Bornwiese;54470;(06531)4046;http://www.bbs-bernkastel.de
BBS;Bernkastel-Kues;"BBS Bernkastel-Kues DLR";61859;"Gestade 12-14";54470;(06531)906403;
GS;Bernkastel-Kues;"GS Bernkastel-Kues";12270;Schulstr.;54470;(06531)8132;http://www.cusanus-grundschule.de
GS;Bernkastel-Kues;"GS Bernkastel-Wehlen";12284;"Hauptstr. 101";54470;(06531)8851;
GY;Bernkastel-Kues;"GY Bernkastel-Kues";51154;"Peter-Kremer-Weg 4";54470;(06531)501890;http://www.nikolaus-von-kues-gymnasium.de
RS+;Bernkastel-Kues;"RS+ Bernkastel-Kues";40535;"Peter-Kremer-Weg 1";54470;(06531)501940;http://www.rsplus-bks.de
FOES;Bernkastel-Kues;"SFG Bernkastel-Kues";31627;"Am Rosenberg 32";54470;(06531)9719210;http://www.Rosenberg-Schule.de
FOES;Bernkastel-Kues;"SFL Bernkastel-Kues";30889;"In der Bornwiese";54470;(06531)3939;http://www.burg-landshut-schule.de
GS;Bettingen;"GS Bettingen";24271;"Maximinstr. 3";54646;(06527)93111;http://www.grundschule-bettingen.de
GS;Betzdorf;"GS Betzdorf Christophorus";26147;"Johannes-Krell-Str. 17";57518;(02741)910730;http://www.cgs-betzdorf.de
GS;Betzdorf;"GS Betzdorf Martin-Luther";26134;"Martin-Luther-Str. 31";57518;(02741)910710;http://gsbetzdorf1.bildung-rp.de/
GY;Betzdorf;"GY Betzdorf";50420;"Freiherr-vom-Stein-Str. 25";57518;"(02741) 935079-0";http://www.fvsgy.bildung-rp.de
IGS;Betzdorf;"IGS Betzdorf-Kirchen";70485;"Kirchener Str. 64";57518;(02741)24056;
RS+;Betzdorf;"RS+ Betzdorf";41209;"Schützenstr. 62";57518;"(02741) 910810";http://www.bvs-rsplus-betzdorf.de
GS;Beuren;"GS Beuren";12300;"Schulstr. 4";54413;(06586)292;http://www.grundschule-beuren-hochwald.de
GS;Bickendorf;"GS Bickendorf";24285;"Ließemer Str. 5";54636;(06569)963136;
GY;Biesdorf;"GY Biesdorf";50207;"Klosterstr. 2";54675;(06566)8060;http://www.sjg-biesdorf.de
GS;Billigheim-Ingenheim;"GS Billigheim-Ingenheim";26360;"Mühlhofener Str. 39";76831;(06349)929503;http://www.klingbachschule.de
BBS;Bingen;"BBS Bingen";60346;"Pennrichstr. 9";55411;(06721)131-55;http://bbs-bingen.de
BBS;Bingen;"BBS Bingen Binger Steinhöfelschule";62031;Vernarey-les-Laumes-Platz;55411;(06721)992700;http://www.handels-schule.de/
BBS;Bingen;"BBS Bingen Hildegardis";62088;"Holzhauserstr. 16";55411;(06721)917042;http://www.fh-bingen.de/~hildegds
GS;Bingen;"GS Bingen-Bingerbrück";12344;"Herterstr. 35";55411;(06721)32233;http://gs-am-mäuseturm.de
GS;Bingen;"GS Bingen-Büdesheim";12357;"Pestalozzistr. 1";55411;(06721)42041;http://www.grundschule-buedesheim.de
GS;Bingen;"GS Bingen-Dietersheim";12360;"Pommernstr. 4";55411;(06721)44643;
GS;Bingen;"GS Bingen-Dromersheim";12374;"Marienstr. 1";55411;(06725)2444;http://www.grundschule-dromersheim.de
GS;Bingen;"GS Bingen-Gaulsheim";12387;"Mainzer Str. 435";55411;(06721)12392;http://www.grundschule-gaulsheim.de
GS;Bingen;"GS Bingen-Kempten";12390;"Gaulsheimer Weg 16-18";55411;(06721)12509;http://www.dreikoenigsschule-kempten.de
GS;Bingen;"GS Bingen-Stadt";12417;"Franz-Burkard-Str. 2-6";55411;(06721)916911;http://www.gs-bingen.de
GY;Bingen;"GY Bingen Hildegardis";50134;"Holzhauserstr. 16";55411;(06721)91700;http://www.hildegardisschule.org
GY;Bingen;"GY Bingen Stefan-George";51258;"Morschfeldweg 5";55411;(06721)49100;http://www.sgg-bingen.de
RS+;Bingen;"RS+ Bingen Scharlachberg";42217;"Pestalozzistr. 1";55411;(06721)42041;www.realschuleplusbingen.de
RS+FOS;Bingen;"RS+FOS Bingen Rochus";40835;"Nuits-Saint-Georges-Str. 10";55411;(06721)96354;http://www.rochus-realschule.de
FOES;Bingen;"SFL Bingen";31134;"Burgstr. 17";55411;(06721)408780;http://www.rhein-nahe-schule.de
GS;Binsfeld;"GS Binsfeld";25215;"Dudeldorfer Str. 4";54518;(06575)4826;http://gs-binsfeld.bildung-rp.de/
GS;Birken-Honigsessen;"GS Birken-Honigsessen";13981;"Hauptstr. 134";57587;(02742)969100;
BBS;Birkenfeld;"BBS Birkenfeld El-Stift AP";63682;"Trierer Str. 16-20";55765;(06782)181575;
BBS;Birkenfeld;"BBS Birkenfeld El-Stift T";62508;"Trierer Str. 16-20";55765;(06782)181411;http://www.el-stift.de
GS;Birkenfeld;"GS Birkenfeld";12420;"An den Gerbhäusern";55765;(06782)99580;http://www.grundschule-birkenfeld.de
GY;Birkenfeld;"GY Birkenfeld";51018;"Brechkaul 10-12";55765;(06782)99940;http://www.gymnasium-birkenfeld.de
RS+;Birkenfeld;"RS+ Birkenfeld/Niederbromb.";41749;"Brechkaul 17";55765;(06782)98210;
FOES;Birkenfeld;"SFL Birkenfeld";30683;Brechkaul;55765;(06782)2188;http://www.sfl-birkenfeld.de
GS;Birkenheide;"GS Birkenheide";12434;"Waldstr. 27";67134;(06237)7874;http://www.albertine-scherer-grundschule.de
GS;Birlenbach;"GS Birlenbach";24211;"Schulstr. 19";65626;(06432)8600;http://gs-birlenbach.bildung-rp.de
GS;Birresborn;"GS Birresborn";12720;"Neustr. 7";54574;(06594)397;
BBS;Bitburg;"BBS Bitburg DLR";61894;"Westpark 11";54634;(06561)9480126;http://www.dlr-eifel.rlp.de
BBS;Bitburg;"BBS Bitburg Euro-BW";64660;"Henry-Dunant Str. 1";54634;"(06561) 9453200";
BBS;Bitburg;"BBS Bitburg Simon";60196;"Rittersdorfer Str. 2";54634;(06561)6005-0;http://www.tssbit.de
GS;Bitburg;"GS Bitburg St. Matthias";20500;"Prümer Str.";54634;(06561)949010;http://www.gs-st-matthias.de
GS;Bitburg;"GS Bitburg-Nord";12464;"Theobald-Simon-Str. 10";54634;(06561)97106-0;http://www.gs-bitburg-nord.de
GS;Bitburg;"GS Bitburg-Süd";12477;Borenweg;54634;(06561)693890;http://www.gs-bitburg-sued.de/
GY;Bitburg;"GY Bitburg St. Matthias";51528;"Prümer Str.";54634;(06561)949050;http://www.st-matthias.de
GY;Bitburg;"GY Bitburg St. Willibrord";51244;"Denkmalstr. 8";54634;(06561)6024-0;http://www.st-willi.de/
RS+;Bitburg;"RS+ Bitburg St. Matthias";41046;"Prümer Str.";54634;(06561)949050;http://www.st-matthias.de
RS+;Bitburg;"RS+ Bitburg Talweg";40204;"Talweg 7";54634;(06561)95240;http://www.rsplus-bitburg.de
FOES;Bitburg;"SFGM Bitburg";30469;"Kölner Str. 14";54634;(06561)96140;http://www.martin-schule.de
FOES;Bitburg;"SFLS Bitburg";31390;"Nansenstr. 25";54634;(06561)944780;http://www.maximin-schule.de
GRS+;Blankenrath;"GRS+ Blankenrath";41629;Waldstr.;56865;(06545)91217100;http://www.grs-blankenrath.de
GS;Bleialf;"GS Bleialf";12493;"Im Gäßchen 6";54608;"(06555)900 93-0";
RS+;Bleialf;"RS+ Bleialf";41752;"Im Brühl 3";54608;(06555)92090;
GS;Bobenheim-Roxheim;"GS Bobenheim-Roxheim Pestalozzi";27081;"Grünstadter Str. 6a";67240;06239-997584;
GS;Bobenheim-Roxheim;"GS Bobenheim-Roxheim Rhein";12507;"Rheinstr. 32";67240;(06239)99640;
RS+;Bobenheim-Roxheim;"RS+ Bobenheim-Roxheim";41932;"Grünstadter Str. 6";67240;(06239)92670;http://realschuleplus-bobrox.de
GS;Böbingen;"GS Böbingen";26283;"In den Feldern";67482;(06327)2237;http://www.gaeuschule.eu
GS;Bockenau;"GS Bockenau Wingertsberg";26960;"Brunnenstr. 17";55595;(06758)372;http://www.grundschule-bockenau.de
GS;Bockenheim;"GS Bockenheim";25888;"Pestalozzistr. 10";67278;(06359)4111;http://grundschule-bockenheim.de
GS;Bodenheim;"GS Bodenheim";12510;"Kirchbergstr. 12";55294;(06135)932603;http://www.grundschule-bodenheim.de
GS;Böhl-Iggelheim;"GS Böhl";12524;"Kirchenstr. 12";67459;(06324)921903;
GS;Böhl-Iggelheim;"GS Iggelheim";14158;"Langgasse 10";67459;(06324)969910;
RS+;Böhl-Iggelheim;"RS+ Böhl-Iggelheim";41946;"Am Schwarzweiher 1";67459;(06324)9899530;http://www.peter-gaertner-realschuleplus.de
GS;Bolanden;"GS Bolanden-Dannenfels";12540;"Im Goschental";67295;(06352)5079;http://www.grundschule-bolanden-dannenfels.de
GY;Bolanden;"GY Bolanden";50074;"Am Hofwiesbach 1";67295;(06352)400550;http://www.weierhof.de
GS;Bollendorf;"GS Bollendorf";12554;Sauerstaden;54669;(06526)443;
GS;Boos;"GS Boos";12567;"Schulstr. 21";56729;(02656)1439;grundschule-boos.de
BBS;Boppard;"BBS Boppard";60119;"Antoniusstr. 21";56154;(06742)80610;http://www.bbs-boppard.de
GS;Boppard;"GS Boppard Michael Thonet";12570;"Auf der Zeil 20";56154;(06742)4003;http://www.michael-thonet-schule.de
GS;Boppard;"GS Boppard-Bad Salzig";26069;"Wiltbergstr. 7";56154;(06742)6108;http://www.grundschule-bad-salzig.de
GS;Boppard;"GS Boppard-Buchholz";24225;"Heidestr. 49";56154;(06742)2923;
GY;Boppard;"GY Boppard";50750;"Mainzer Str. 24";56154;"(06742) 805000";http://www.kant-gymnasium-boppard.de
